Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Women's Strawweight Bout,Yan Xiaonan,Mackenzie Dern,False,Decision - Majority,5,5:00,,Chris Tognoni,,Mackenzie Dern,0,61 of 151,40%,224 of 339,2 of 11,18%,2,2,9:19,61 of 151,45 of 132,10 of 13,6 of 6,52 of 136,3 of 7,6 of 8,Yan Xiaonan,0,113 of 195,57%,151 of 240,0 of 0,---,0,0,4:11,113 of 195,53 of 126,14 of 21,46 of 48,100 of 178,6 of 9,7 of 8
Welterweight Bout,Randy Brown,Francisco Trinaldo,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Randy Brown,1,60 of 141,42%,65 of 148,0 of 1,0%,1,1,0:38,60 of 141,30 of 101,10 of 16,20 of 24,56 of 136,0 of 1,4 of 4,Francisco Trinaldo,0,40 of 67,59%,82 of 111,1 of 4,25%,0,0,5:21,40 of 67,20 of 44,9 of 12,11 of 11,33 of 59,0 of 1,7 of 7
Bantamweight Bout,Raoni Barcelos,Trevin Jones,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Raoni Barcelos,1,73 of 119,61%,119 of 171,2 of 5,40%,0,0,7:07,73 of 119,51 of 95,19 of 21,3 of 3,39 of 75,2 of 3,32 of 41,Trevin Jones,0,11 of 57,19%,15 of 61,0 of 2,0%,0,0,0:00,11 of 57,5 of 47,3 of 7,3 of 3,11 of 56,0 of 1,0 of 0
Featherweight Bout,Sodiq Yusuff,Don Shainis,False,Submission,1,0:30,,Jacob Montalvo,,Sodiq Yusuff,0,9 of 9,100%,9 of 9,0 of 0,---,1,0,0:02,9 of 9,1 of 1,8 of 8,0 of 0,2 of 2,7 of 7,0 of 0,Don Shainis,0,3 of 3,100%,9 of 9,0 of 1,0%,0,0,0:11,3 of 3,0 of 0,3 of 3,0 of 0,1 of 1,2 of 2,0 of 0
Lightweight Bout,Mike Davis,Viacheslav Borshchev,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Mike Davis,0,65 of 133,48%,101 of 174,9 of 11,81%,1,0,8:02,65 of 133,53 of 118,5 of 7,7 of 8,27 of 75,1 of 1,37 of 57,Viacheslav Borshchev,0,63 of 118,53%,84 of 139,0 of 0,---,0,1,0:14,63 of 118,29 of 81,10 of 13,24 of 24,62 of 115,0 of 0,1 of 3
Catch Weight Bout,Daniel Santos,John Castaneda,False,KO/TKO,2,4:28,,Keith Peterson,,John Castaneda,1,57 of 106,53%,67 of 118,3 of 6,50%,0,0,2:04,57 of 106,45 of 89,8 of 13,4 of 4,41 of 87,8 of 10,8 of 9,Daniel Santos,1,69 of 134,51%,71 of 137,2 of 4,50%,0,0,0:52,69 of 134,52 of 111,14 of 19,3 of 4,53 of 114,14 of 18,2 of 2
Heavyweight Bout,Ilir Latifi,Aleksei Oleinik,False,Decision - Unanimous,3,5:00,,Jacob Montalvo,,Ilir Latifi,0,38 of 48,79%,74 of 88,3 of 6,50%,0,0,8:29,38 of 48,32 of 40,6 of 8,0 of 0,18 of 27,5 of 6,15 of 15,Aleksei Oleinik,0,28 of 70,40%,68 of 113,0 of 0,---,0,0,0:02,28 of 70,9 of 46,7 of 9,12 of 15,27 of 66,1 of 4,0 of 0
Lightweight Bout,Joaquim Silva,Jesse Ronson,False,KO/TKO,2,3:08,,Keith Peterson,,Joaquim Silva,1,45 of 90,50%,51 of 96,0 of 0,---,0,0,0:11,45 of 90,26 of 67,12 of 16,7 of 7,38 of 76,0 of 0,7 of 14,Jesse Ronson,0,39 of 83,46%,39 of 83,0 of 1,0%,0,0,0:00,39 of 83,22 of 55,11 of 18,6 of 10,39 of 83,0 of 0,0 of 0
Middleweight Bout,Brendan Allen,Krzysztof Jotko,False,Submission,1,4:17,,Kerry Hatley,,Krzysztof Jotko,0,3 of 6,50%,21 of 26,0 of 0,---,0,0,1:33,3 of 6,3 of 5,0 of 1,0 of 0,0 of 3,0 of 0,3 of 3,Brendan Allen,0,3 of 6,50%,12 of 16,1 of 1,100%,1,1,2:24,3 of 6,1 of 4,1 of 1,1 of 1,2 of 4,0 of 0,1 of 2
Catch Weight Bout,Chelsea Chandler,Julija Stoliarenko,False,KO/TKO,1,4:15,,Jacob Montalvo,,Julija Stoliarenko,0,12 of 27,44%,20 of 36,1 of 3,33%,0,0,0:19,12 of 27,5 of 18,3 of 4,4 of 5,12 of 27,0 of 0,0 of 0,Chelsea Chandler,0,38 of 70,54%,47 of 81,0 of 0,---,0,0,2:05,38 of 70,34 of 64,4 of 6,0 of 0,17 of 43,0 of 0,21 of 27
Bantamweight Bout,Guido Cannetti,Randy Costa,False,Submission,1,1:04,,Chris Tognoni,,Guido Cannetti,0,8 of 13,61%,8 of 13,1 of 1,100%,1,0,0:09,8 of 13,1 of 5,3 of 3,4 of 5,8 of 13,0 of 0,0 of 0,Randy Costa,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,2 of 7,0 of 3,2 of 4,0 of 0,2 of 7,0 of 0,0 of 0
Bantamweight Bout,Cory Sandhagen,Song Yadong,False,TKO - Doctor's Stoppage,4,5:00,,Herb Dean,,Cory Sandhagen,0,94 of 222,42%,130 of 259,1 of 14,7%,0,0,3:47,94 of 222,62 of 186,17 of 21,15 of 15,86 of 213,5 of 6,3 of 3,Song Yadong,0,54 of 145,37%,130 of 224,2 of 2,100%,0,0,1:39,54 of 145,36 of 125,13 of 15,5 of 5,44 of 132,10 of 13,0 of 0
Middleweight Bout,Gregory Rodrigues,Chidi Njokuani,False,KO/TKO,2,1:27,,Mark Smith,,Chidi Njokuani,0,44 of 65,67%,47 of 68,0 of 0,---,0,0,1:40,44 of 65,13 of 25,28 of 37,3 of 3,19 of 35,25 of 30,0 of 0,Gregory Rodrigues,1,48 of 90,53%,60 of 102,1 of 3,33%,0,0,1:14,48 of 90,34 of 74,13 of 14,1 of 2,24 of 48,17 of 21,7 of 21
Featherweight Bout,Andre Fili,Bill Algeo,False,Decision - Split,3,5:00,,Keith Peterson,,Andre Fili,0,59 of 142,41%,67 of 151,1 of 3,33%,2,0,4:18,59 of 142,48 of 125,6 of 10,5 of 7,59 of 141,0 of 1,0 of 0,Bill Algeo,0,81 of 170,47%,151 of 246,0 of 3,0%,0,0,0:07,81 of 170,38 of 113,17 of 27,26 of 30,80 of 168,1 of 2,0 of 0
Middleweight Bout,Joe Pyfer,Alen Amedovski,False,KO/TKO,1,3:55,,Chris Tognoni,,Joe Pyfer,1,14 of 45,31%,14 of 45,0 of 0,---,0,0,0:03,14 of 45,12 of 42,1 of 2,1 of 1,13 of 44,0 of 0,1 of 1,Alen Amedovski,0,11 of 30,36%,11 of 30,0 of 0,---,0,0,0:00,11 of 30,4 of 19,2 of 4,5 of 7,11 of 30,0 of 0,0 of 0
Heavyweight Bout,Rodrigo Nascimento,Tanner Boser,False,Decision - Split,3,5:00,,Mark Smith,,Tanner Boser,0,62 of 115,53%,163 of 220,0 of 0,---,0,1,0:58,62 of 115,40 of 87,13 of 16,9 of 12,59 of 112,1 of 1,2 of 2,Rodrigo Nascimento,0,36 of 86,41%,91 of 149,3 of 7,42%,1,0,8:01,36 of 86,32 of 81,4 of 5,0 of 0,30 of 80,4 of 4,2 of 2
Middleweight Bout,Anthony Hernandez,Marc-Andre Barriault,False,Submission,3,1:53,,Herb Dean,,Anthony Hernandez,0,39 of 60,65%,58 of 84,8 of 14,57%,2,0,8:45,39 of 60,31 of 52,8 of 8,0 of 0,18 of 35,8 of 12,13 of 13,Marc-Andre Barriault,0,25 of 53,47%,34 of 62,0 of 0,---,0,0,0:25,25 of 53,16 of 44,9 of 9,0 of 0,15 of 42,10 of 11,0 of 0
Featherweight Bout,Damon Jackson,Pat Sabatini,False,KO/TKO,1,1:09,,Keith Peterson,,Damon Jackson,0,11 of 20,55%,16 of 27,1 of 1,100%,0,0,0:32,11 of 20,11 of 20,0 of 0,0 of 0,3 of 4,1 of 1,7 of 15,Pat Sabatini,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:00,1 of 3,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
Welterweight Bout,Trevin Giles,Louis Cosce,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Trevin Giles,0,25 of 46,54%,45 of 66,2 of 5,40%,0,0,2:09,25 of 46,10 of 29,2 of 4,13 of 13,25 of 45,0 of 1,0 of 0,Louis Cosce,0,10 of 38,26%,21 of 49,1 of 1,100%,1,0,3:36,10 of 38,5 of 29,3 of 5,2 of 4,9 of 37,1 of 1,0 of 0
Women's Strawweight Bout,Loma Lookboonmee,Denise Gomes,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Denise Gomes,0,19 of 34,55%,45 of 66,0 of 6,0%,3,2,5:31,19 of 34,13 of 25,2 of 3,4 of 6,13 of 25,6 of 9,0 of 0,Loma Lookboonmee,0,48 of 67,71%,87 of 115,4 of 5,80%,0,1,7:01,48 of 67,31 of 49,11 of 12,6 of 6,14 of 23,8 of 9,26 of 35
Lightweight Bout,Trey Ogden,Daniel Zellhuber,False,Decision - Unanimous,3,5:00,,Herb Dean,,Trey Ogden,0,71 of 168,42%,72 of 169,1 of 9,11%,0,0,0:38,71 of 168,22 of 109,7 of 13,42 of 46,71 of 168,0 of 0,0 of 0,Daniel Zellhuber,0,52 of 178,29%,52 of 178,0 of 0,---,0,0,0:00,52 of 178,19 of 125,21 of 40,12 of 13,52 of 178,0 of 0,0 of 0
Women's Flyweight Bout,Gillian Robertson,Mariya Agapova,False,Submission,2,2:19,,Mark Smith,,Mariya Agapova,0,39 of 58,67%,84 of 107,0 of 0,---,1,0,0:29,39 of 58,36 of 53,3 of 5,0 of 0,9 of 27,5 of 6,25 of 25,Gillian Robertson,0,4 of 14,28%,7 of 20,3 of 7,42%,1,0,4:47,4 of 14,0 of 5,1 of 2,3 of 7,4 of 14,0 of 0,0 of 0
Bantamweight Bout,Javid Basharat,Tony Gravely,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Tony Gravely,0,33 of 113,29%,39 of 119,2 of 13,15%,0,0,1:43,33 of 113,17 of 84,2 of 11,14 of 18,30 of 106,3 of 7,0 of 0,Javid Basharat,0,80 of 149,53%,106 of 177,2 of 4,50%,0,0,3:13,80 of 149,50 of 113,24 of 30,6 of 6,69 of 134,6 of 10,5 of 5
Lightweight Bout,Nikolas Motta,Cameron VanCamp,False,KO/TKO,1,3:49,,Chris Tognoni,,Nikolas Motta,1,24 of 45,53%,24 of 45,0 of 0,---,0,0,0:05,24 of 45,22 of 41,1 of 3,1 of 1,15 of 35,0 of 0,9 of 10,Cameron VanCamp,0,15 of 40,37%,15 of 40,0 of 0,---,0,0,0:00,15 of 40,7 of 26,4 of 10,4 of 4,15 of 40,0 of 0,0 of 0
Welterweight Bout,Nate Diaz,Tony Ferguson,False,Submission,4,2:52,,Marc Goddard,,Nate Diaz,0,101 of 217,46%,101 of 217,0 of 0,---,1,0,0:00,101 of 217,71 of 178,21 of 30,9 of 9,99 of 214,2 of 3,0 of 0,Tony Ferguson,0,80 of 172,46%,80 of 172,1 of 3,33%,0,0,0:08,80 of 172,23 of 106,23 of 27,34 of 39,80 of 172,0 of 0,0 of 0
Catch Weight Bout,Khamzat Chimaev,Kevin Holland,False,Submission,1,2:13,,Herb Dean,,Khamzat Chimaev,0,0 of 1,0%,1 of 2,2 of 5,40%,2,0,1:56,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,Kevin Holland,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Catch Weight Bout,Daniel Rodriguez,Li Jingliang,False,Decision - Split,3,5:00,,Mark Smith,,Li Jingliang,0,78 of 175,44%,78 of 175,1 of 1,100%,0,0,0:02,78 of 175,25 of 103,23 of 34,30 of 38,78 of 174,0 of 0,0 of 1,Daniel Rodriguez,0,88 of 185,47%,89 of 186,0 of 0,---,0,0,0:00,88 of 185,54 of 140,17 of 23,17 of 22,88 of 185,0 of 0,0 of 0
Catch Weight Bout,Irene Aldana,Macy Chiasson,False,KO/TKO,3,2:21,,Jason Herzog,,Irene Aldana,1,37 of 71,52%,51 of 85,0 of 0,---,2,0,1:00,37 of 71,24 of 57,5 of 5,8 of 9,19 of 51,3 of 3,15 of 17,Macy Chiasson,0,39 of 94,41%,72 of 140,3 of 8,37%,0,0,3:28,39 of 94,26 of 80,7 of 8,6 of 6,31 of 75,0 of 0,8 of 19
Light Heavyweight Bout,Johnny Walker,Ion Cutelaba,False,Submission,1,4:37,,Mike Beltran,,Johnny Walker,0,3 of 3,100%,17 of 21,1 of 1,100%,3,1,2:10,3 of 3,3 of 3,0 of 0,0 of 0,1 of 1,1 of 1,1 of 1,Ion Cutelaba,0,3 of 5,60%,17 of 23,1 of 1,100%,0,0,2:02,3 of 5,2 of 4,0 of 0,1 of 1,2 of 2,0 of 1,1 of 2
Featherweight Bout,Julian Erosa,Hakeem Dawodu,False,Decision - Unanimous,3,5:00,,Herb Dean,,Hakeem Dawodu,0,74 of 147,50%,90 of 163,0 of 0,---,0,1,0:12,74 of 147,43 of 109,18 of 21,13 of 17,57 of 126,16 of 20,1 of 1,Julian Erosa,0,92 of 188,48%,152 of 257,2 of 6,33%,0,0,4:22,92 of 188,60 of 149,28 of 32,4 of 7,59 of 149,24 of 30,9 of 9
Catch Weight Bout,Jailton Almeida,Anton Turkalj,False,Submission,1,4:27,,Marc Goddard,,Jailton Almeida,0,17 of 24,70%,23 of 31,3 of 3,100%,2,0,4:14,17 of 24,17 of 22,0 of 1,0 of 1,0 of 3,0 of 0,17 of 21,Anton Turkalj,0,1 of 1,100%,19 of 22,0 of 0,---,0,0,0:00,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
Middleweight Bout,Denis Tiuliulin,Jamie Pickett,False,KO/TKO,2,4:52,,Mike Beltran,,Denis Tiuliulin,2,73 of 161,45%,87 of 178,0 of 1,0%,0,0,0:59,73 of 161,53 of 131,19 of 28,1 of 2,52 of 133,15 of 15,6 of 13,Jamie Pickett,0,60 of 111,54%,63 of 114,0 of 5,0%,0,0,0:35,60 of 111,44 of 90,13 of 18,3 of 3,56 of 103,4 of 8,0 of 0
Heavyweight Bout,Chris Barnett,Jake Collier,False,KO/TKO,2,2:24,,Mark Smith,,Jake Collier,1,51 of 98,52%,57 of 107,1 of 2,50%,1,0,1:26,51 of 98,40 of 85,10 of 12,1 of 1,28 of 70,13 of 16,10 of 12,Chris Barnett,0,54 of 98,55%,83 of 132,0 of 0,---,0,0,1:07,54 of 98,48 of 89,1 of 4,5 of 5,25 of 51,1 of 5,28 of 42
Women's Featherweight Bout,Norma Dumont,Danyelle Wolf,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Norma Dumont,1,52 of 110,47%,99 of 161,2 of 2,100%,0,0,6:41,52 of 110,32 of 80,8 of 10,12 of 20,33 of 84,6 of 7,13 of 19,Danyelle Wolf,0,20 of 95,21%,44 of 120,0 of 0,---,0,0,0:00,20 of 95,12 of 80,7 of 13,1 of 2,18 of 92,2 of 2,0 of 1
Bantamweight Bout,Alatengheili,Chad Anheliger,False,Decision - Unanimous,3,5:00,,Herb Dean,,Chad Anheliger,0,39 of 143,27%,56 of 163,0 of 0,---,0,0,0:00,39 of 143,25 of 118,8 of 14,6 of 11,35 of 139,0 of 0,4 of 4,Alatengheili,0,49 of 131,37%,60 of 148,2 of 2,100%,0,0,1:23,49 of 131,30 of 102,6 of 7,13 of 22,43 of 123,0 of 0,6 of 8
Women's Strawweight Bout,Elise Reed,Melissa Martinez,False,Decision - Unanimous,3,5:00,,Mark Smith,,Melissa Martinez,0,45 of 78,57%,63 of 96,1 of 2,50%,0,0,2:42,45 of 78,10 of 38,17 of 21,18 of 19,37 of 67,6 of 8,2 of 3,Elise Reed,1,38 of 70,54%,65 of 99,3 of 3,100%,0,0,3:34,38 of 70,15 of 44,17 of 19,6 of 7,20 of 51,12 of 13,6 of 6
Welterweight Bout,Yohan Lainesse,Darian Weeks,False,Decision - Split,3,5:00,,Mike Beltran,,Darian Weeks,0,44 of 108,40%,49 of 113,1 of 9,11%,0,0,1:49,44 of 108,14 of 60,10 of 19,20 of 29,41 of 100,3 of 8,0 of 0,Yohan Lainesse,0,23 of 66,34%,24 of 67,0 of 2,0%,0,0,0:17,23 of 66,10 of 46,5 of 7,8 of 13,22 of 65,1 of 1,0 of 0
Heavyweight Bout,Ciryl Gane,Tai Tuivasa,False,KO/TKO,3,4:23,,Marc Goddard,,Ciryl Gane,1,110 of 168,65%,110 of 168,0 of 1,0%,0,0,0:01,110 of 168,64 of 110,30 of 40,16 of 18,108 of 166,0 of 0,2 of 2,Tai Tuivasa,1,29 of 89,32%,29 of 89,0 of 0,---,0,0,0:04,29 of 89,17 of 61,4 of 9,8 of 19,26 of 84,1 of 3,2 of 2
Middleweight Bout,Robert Whittaker,Marvin Vettori,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Robert Whittaker,0,74 of 166,44%,74 of 166,1 of 1,100%,0,0,0:12,74 of 166,49 of 138,6 of 9,19 of 19,72 of 163,0 of 0,2 of 3,Marvin Vettori,0,33 of 116,28%,38 of 121,0 of 1,0%,0,0,0:28,33 of 116,15 of 94,7 of 10,11 of 12,33 of 116,0 of 0,0 of 0
Middleweight Bout,Nassourdine Imavov,Joaquin Buckley,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Nassourdine Imavov,0,51 of 109,46%,68 of 142,2 of 7,28%,2,0,3:56,51 of 109,40 of 90,9 of 13,2 of 6,36 of 88,8 of 10,7 of 11,Joaquin Buckley,0,46 of 174,26%,55 of 183,0 of 3,0%,0,0,0:29,46 of 174,27 of 145,8 of 13,11 of 16,44 of 171,2 of 3,0 of 0
Middleweight Bout,Roman Kopylov,Alessio Di Chirico,False,KO/TKO,3,1:09,,Rich Mitchell,,Alessio Di Chirico,0,39 of 126,30%,43 of 131,0 of 4,0%,0,0,1:02,39 of 126,29 of 109,6 of 12,4 of 5,38 of 123,1 of 3,0 of 0,Roman Kopylov,1,59 of 122,48%,66 of 129,0 of 0,---,0,0,0:01,59 of 122,37 of 100,12 of 12,10 of 10,55 of 118,4 of 4,0 of 0
Featherweight Bout,William Gomis,Jarno Errens,False,Decision - Unanimous,3,5:00,,Jason Herzog,,William Gomis,0,32 of 70,45%,69 of 121,3 of 5,60%,0,0,8:04,32 of 70,14 of 43,10 of 18,8 of 9,27 of 62,2 of 3,3 of 5,Jarno Errens,0,20 of 53,37%,31 of 64,0 of 2,0%,1,0,0:14,20 of 53,10 of 32,8 of 14,2 of 7,15 of 47,5 of 6,0 of 0
Featherweight Bout,Nathaniel Wood,Charles Jourdain,False,Decision - Unanimous,3,5:00,,Rich Mitchell,,Charles Jourdain,0,86 of 203,42%,115 of 232,1 of 2,50%,0,0,0:24,86 of 203,56 of 165,29 of 36,1 of 2,55 of 166,30 of 36,1 of 1,Nathaniel Wood,0,97 of 202,48%,128 of 234,5 of 8,62%,0,0,4:30,97 of 202,61 of 157,14 of 21,22 of 24,78 of 174,16 of 22,3 of 6
Middleweight Bout,Abus Magomedov,Dustin Stoltzfus,False,KO/TKO,1,0:19,,Loic Pora,,Abus Magomedov,1,7 of 7,100%,7 of 7,0 of 0,---,0,0,0:02,7 of 7,6 of 6,1 of 1,0 of 0,3 of 3,2 of 2,2 of 2,Dustin Stoltzfus,0,0 of 2,0%,0 of 2,0 of 0,---,0,0,0:00,0 of 2,0 of 1,0 of 1,0 of 0,0 of 2,0 of 0,0 of 0
Lightweight Bout,Nasrat Haqparast,John Makdessi,False,Decision - Unanimous,3,5:00,,Marc Goddard,,John Makdessi,0,73 of 196,37%,73 of 196,0 of 0,---,0,0,0:00,73 of 196,26 of 122,18 of 41,29 of 33,72 of 195,1 of 1,0 of 0,Nasrat Haqparast,1,64 of 173,36%,72 of 181,2 of 3,66%,0,0,0:35,64 of 173,41 of 139,19 of 29,4 of 5,60 of 168,4 of 5,0 of 0
Lightweight Bout,Fares Ziam,Michal Figlak,False,Decision - Unanimous,3,5:00,,Rich Mitchell,,Fares Ziam,0,60 of 108,55%,111 of 162,3 of 7,42%,0,1,6:48,60 of 108,34 of 81,13 of 14,13 of 13,45 of 78,2 of 3,13 of 27,Michal Figlak,0,28 of 96,29%,55 of 126,1 of 5,20%,0,0,1:35,28 of 96,13 of 74,9 of 16,6 of 6,25 of 88,0 of 1,3 of 7
Lightweight Bout,Benoit Saint Denis,Gabriel Miranda,False,KO/TKO,2,0:16,,Jason Herzog,,Benoit Saint Denis,3,42 of 67,62%,81 of 110,1 of 1,100%,0,0,3:17,42 of 67,35 of 59,5 of 6,2 of 2,24 of 43,2 of 2,16 of 22,Gabriel Miranda,0,20 of 37,54%,33 of 53,1 of 3,33%,0,0,0:20,20 of 37,13 of 30,7 of 7,0 of 0,17 of 34,3 of 3,0 of 0
Bantamweight Bout,Cristian Quinonez,Khalid Taha,False,KO/TKO,1,3:15,,Rich Mitchell,,Khalid Taha,0,6 of 27,22%,6 of 27,0 of 0,---,0,0,0:00,6 of 27,5 of 25,1 of 1,0 of 1,6 of 27,0 of 0,0 of 0,Cristian Quinonez,0,19 of 47,40%,19 of 47,0 of 0,---,0,0,0:02,19 of 47,17 of 42,0 of 3,2 of 2,15 of 42,0 of 0,4 of 5
Women's Featherweight Bout,Stephanie Egger,Ailin Perez,False,Submission,2,4:54,,Loic Pora,,Stephanie Egger,0,15 of 22,68%,47 of 64,2 of 7,28%,1,1,6:59,15 of 22,9 of 16,3 of 3,3 of 3,5 of 11,3 of 3,7 of 8,Ailin Perez,0,16 of 34,47%,41 of 61,1 of 3,33%,0,0,1:33,16 of 34,7 of 20,9 of 12,0 of 2,8 of 25,6 of 6,2 of 3
UFC Welterweight Title Bout,Leon Edwards,Kamaru Usman,False,KO/TKO,5,4:04,,Herb Dean,,Kamaru Usman,0,83 of 135,61%,189 of 247,5 of 12,41%,0,0,10:36,83 of 135,61 of 109,17 of 21,5 of 5,46 of 85,15 of 22,22 of 28,Leon Edwards,1,55 of 75,73%,64 of 85,1 of 5,20%,1,0,2:55,55 of 75,20 of 38,22 of 24,13 of 13,42 of 62,7 of 7,6 of 6
Middleweight Bout,Paulo Costa,Luke Rockhold,False,Decision - Unanimous,3,5:00,,Mike Beltran,,Paulo Costa,0,73 of 103,70%,106 of 137,2 of 2,100%,0,0,5:28,73 of 103,37 of 61,33 of 39,3 of 3,53 of 80,3 of 4,17 of 19,Luke Rockhold,0,51 of 70,72%,57 of 78,1 of 4,25%,0,1,0:47,51 of 70,23 of 40,23 of 25,5 of 5,48 of 67,2 of 2,1 of 1
Bantamweight Bout,Merab Dvalishvili,Jose Aldo,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Jose Aldo,0,38 of 67,56%,59 of 92,0 of 0,---,0,0,0:00,38 of 67,11 of 35,21 of 25,6 of 7,35 of 63,3 of 4,0 of 0,Merab Dvalishvili,0,57 of 147,38%,135 of 230,0 of 16,0%,0,0,5:06,57 of 147,20 of 102,10 of 14,27 of 31,43 of 132,14 of 15,0 of 0
Women's Bantamweight Bout,Lucie Pudilova,Wu Yanan,False,KO/TKO,2,4:04,,Herb Dean,,Wu Yanan,0,26 of 42,61%,32 of 48,0 of 0,---,0,0,0:04,26 of 42,7 of 18,5 of 8,14 of 16,22 of 38,4 of 4,0 of 0,Lucie Pudilova,0,39 of 81,48%,51 of 96,2 of 3,66%,1,0,4:53,39 of 81,29 of 65,5 of 7,5 of 9,14 of 50,4 of 4,21 of 27
Light Heavyweight Bout,Tyson Pedro,Harry Hunsucker,False,KO/TKO,1,1:05,,Mike Beltran,,Tyson Pedro,1,6 of 11,54%,6 of 11,0 of 0,---,0,0,0:04,6 of 11,5 of 10,1 of 1,0 of 0,4 of 7,0 of 0,2 of 4,Harry Hunsucker,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,2 of 4,0 of 2,0 of 0,2 of 2,2 of 4,0 of 0,0 of 0
Heavyweight Bout,Marcin Tybura,Alexandr Romanov,False,Decision - Majority,3,5:00,,Jason Herzog,,Marcin Tybura,0,47 of 98,47%,82 of 135,0 of 0,---,0,0,1:48,47 of 98,30 of 74,10 of 17,7 of 7,43 of 92,2 of 4,2 of 2,Alexandr Romanov,0,40 of 88,45%,95 of 160,2 of 6,33%,0,1,5:02,40 of 88,24 of 65,7 of 12,9 of 11,21 of 65,9 of 12,10 of 11
Lightweight Bout,Jared Gordon,Leonardo Santos,False,Decision - Unanimous,3,5:00,,Herb Dean,,Leonardo Santos,0,36 of 81,44%,41 of 86,0 of 3,0%,0,0,0:54,36 of 81,21 of 60,11 of 16,4 of 5,29 of 74,7 of 7,0 of 0,Jared Gordon,0,116 of 174,66%,203 of 265,0 of 0,---,0,0,3:55,116 of 174,67 of 120,41 of 46,8 of 8,86 of 136,26 of 34,4 of 4
Featherweight Bout,,,True,Decision - Split,3,5:00,,Mike Beltran,,Sean Woodson,0,73 of 157,46%,86 of 170,0 of 0,---,1,0,0:22,73 of 157,53 of 133,17 of 19,3 of 5,70 of 154,3 of 3,0 of 0,Luis Saldana,2,91 of 176,51%,96 of 181,1 of 7,14%,0,0,3:20,91 of 176,46 of 108,14 of 24,31 of 44,85 of 166,3 of 5,3 of 5
Featherweight Bout,,,True,Decision - Split,3,5:00,,Mike Beltran,,Sean Woodson,0,73 of 157,46%,86 of 170,0 of 0,---,1,0,0:22,73 of 157,53 of 133,17 of 19,3 of 5,70 of 154,3 of 3,0 of 0,Luis Saldana,2,91 of 176,51%,96 of 181,1 of 7,14%,0,0,3:20,91 of 176,46 of 108,14 of 24,31 of 44,85 of 166,3 of 5,3 of 5
Welterweight Bout,Ange Loosa,AJ Fletcher,False,Decision - Unanimous,3,5:00,,Mike Beltran,,AJ Fletcher,0,87 of 181,48%,103 of 201,0 of 4,0%,0,0,0:36,87 of 181,74 of 163,9 of 13,4 of 5,80 of 169,6 of 9,1 of 3,Ange Loosa,0,129 of 233,55%,241 of 354,2 of 4,50%,0,0,5:26,129 of 233,88 of 188,27 of 30,14 of 15,95 of 189,11 of 18,23 of 26
Flyweight Bout,Amir Albazi,Francisco Figueiredo,False,Submission,1,4:34,,Dave Seljestad,,Amir Albazi,0,12 of 18,66%,23 of 29,2 of 4,50%,1,0,2:36,12 of 18,10 of 16,1 of 1,1 of 1,3 of 8,0 of 0,9 of 10,Francisco Figueiredo,0,11 of 15,73%,14 of 18,0 of 0,---,0,0,0:00,11 of 15,2 of 3,4 of 5,5 of 7,11 of 15,0 of 0,0 of 0
Bantamweight Bout,Aoriqileng,Jay Perrin,False,Decision - Unanimous,3,5:00,,Tyler Tomlinson,,Aoriqileng,0,72 of 132,54%,102 of 163,0 of 3,0%,0,0,0:02,72 of 132,51 of 107,14 of 17,7 of 8,61 of 119,11 of 13,0 of 0,Jay Perrin,0,88 of 167,52%,106 of 188,3 of 7,42%,0,0,5:59,88 of 167,63 of 135,20 of 25,5 of 7,73 of 148,13 of 16,2 of 3
